ID,NOME_OBRA,AUTOR,TIPOLOGIA,MATERIAL,DT_IMPLANT,CONPRESP,CONDEPHAAT,TOMBAMENTO,LOCAL,IPHAN,LINK_RES,problematica
379,Víctor Raúl Haya de La Torre,"ROSSI, Miguel Baca",Herma,bronze e granito,2010,não consta,não consta,não,Avenida Juscelino Kubistchek (canteiro central em frente a Praça Haya de la Torre),não consta,não consta,N
380,Vitória,"EID, Odette",Estátua,bronze granito e aço,2000,não consta,não consta,não,"Avenida Santos Dumont (canteiro central, em frente ao nº 1313)",não consta,não consta,N
381,Vitórias Esportivas na Europa,"RODRIGUES, José Wasth; MINGO, Roque de",Escultura Figurativa,alvenaria granito e bronze,1927,não consta,não consta,não,Praça Dionísio de Carvalho,não consta,não consta,N
382,Vôo,"TORRES, Caciporé",Escultura Abstrata,aço inox e concreto,1979,RES. 17/2007,não consta,sim,Praça da Sé,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
383,Washington Pelúcio,desconhecido,Marco,granito,1988,não consta,não consta,não,Praça Washington Pelúcio,não consta,não consta,N
384,Yoshikazu Tanaka,desconhecido,Herma,bronze e concreto,1999,não consta,não consta,não,"Rua Galvăo Bueno, 83",não consta,não consta,N
387,Cruzeiro,desconhecido,Cruzeiro,granito,1947,não consta,não consta,não,Praça Dom José Gaspar,não consta,não consta,N
388,Nascer,"NASSER, Daisy",Escultura Abstrata,alumínio laqueado,2007,não consta,não consta,não,Parque Buenos Aires,não consta,não consta,N
210,Marco Rodoviário,desconhecido,Marco quilométrico,concreto de pedregulho com argamassa de cimento,ca. 1916,RES. 01/2017,não consta,sim,Avenida Senador José Ermírio de Moraes (em frente à entrada do Parque Estadual da Cantareira Núcleo Águas Claras),não consta,https://www.prefeitura.sp.gov.br/cidade/upload/01_1493316400.2017,N
201,M,desconhecido,Escultura Figurativa,concreto,1954,não consta,não consta,não,Parque Ibirapuera,não consta,não consta,N
321,Ragueb Chohfi,desconhecido,Herma,bronze e granito,1988,não consta,não consta,não,Praça Ragueb Chohfi,não consta,não consta,N
,Primeiro Alto da Expedição Partida de São Paulo em 10 de abril de 1865 rumo ao Paraguai,parceria DPH e Subprefeitura da Freguesia do Ó,Marco,granito,22/12/2018 (marco anterior: 1965),não consta,não consta,não,Largo da Matriz de Nossa Senhora do Ó,não consta,não consta,N
272,O ESCOTEIRO (fragmento do Monumento a Olavo Bilac),"ZADIG, William",Estátua,bronze e base de concreto com placa em granito,2018,não consta,não consta,não,Centro Esportivo Tietê,não consta,não consta,N
,Ex-Libris,"RUZA, Mário Donizete",Escultura,Chapa de ferro pintado na cor vermelha e concreto armado,2018,não consta,não consta,não,Praça João Tadeu Priolli,não consta,não consta,N
,Parque das Cores do Escuro,"TOLEDO, Amelia",Instalação Artística,"quartzo rosa, verde, branco e marrom; granito; magnetita com calcita branca, calcita vermelha, serpentinita preta",2002,não consta,não consta,não,Praça Soichiro Honda,não consta,não consta,N
,Uri,"KIM, Samuel",Monumento,aço corten,2018,não consta,não consta,não,Canteiro central do cruzamento entre as Ruas Prates e Ribeiro de Lima,não consta,não consta,N
,Ampliação do Troféu do Prêmio Jornalístico Vladimir Herzog,"ANDREATO, Elifas",Escultura,"Alumínio, concreto armado e granito preto",2019,não consta,não consta,não,Praça Vladimir Herzog,não consta,não consta,N
